epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6922,1.99134,2.90897,0.85641,0.02195,0.06526,0.03304,0.00699,1.86002,3.6884,0.84639,0.000411111,0.000411111,0.000411111
2,38.3254,2.03982,1.76838,0.83129,0.93731,0.17112,0.19639,0.10683,1.65739,1.84774,0.82822,0.000811388,0.000811388,0.000811388
3,48.6955,2.0184,1.63664,0.8348,0.67977,0.21485,0.20437,0.09372,1.82391,1.67762,0.84239,0.00119516,0.00119516,0.00119516
4,58.9955,1.98311,1.6282,0.8242,0.94602,0.18628,0.21861,0.11912,1.57941,1.60793,0.82431,0.00117575,0.00117575,0.00117575
5,69.1888,1.82218,1.49496,0.81446,0.94288,0.18913,0.22028,0.12659,1.59822,1.32807,0.83277,0.001151,0.001151,0.001151
6,79.8469,1.85447,1.41061,0.81569,0.94948,0.19604,0.23559,0.12939,1.55963,1.29275,0.81965,0.00112625,0.00112625,0.00112625
7,90.0877,1.8155,1.33761,0.81429,0.89865,0.21873,0.24717,0.13674,1.57942,1.23217,0.82061,0.0011015,0.0011015,0.0011015
8,100.121,1.74372,1.28828,0.81177,0.94803,0.2164,0.25819,0.14851,1.50685,1.1655,0.82293,0.00107675,0.00107675,0.00107675
9,110.526,1.69653,1.23171,0.80572,0.77395,0.26613,0.29019,0.17141,1.44093,1.09282,0.81219,0.001052,0.001052,0.001052
10,120.842,1.74487,1.19377,0.80203,0.8537,0.26933,0.31881,0.18383,1.53443,1.0463,0.82206,0.00102725,0.00102725,0.00102725
11,131.014,1.6767,1.12315,0.80389,0.83223,0.2835,0.32897,0.19783,1.45248,1.00421,0.81137,0.0010025,0.0010025,0.0010025
12,141.404,1.74459,1.10235,0.79523,0.52518,0.32956,0.33358,0.19672,1.45029,1.00832,0.81504,0.00097775,0.00097775,0.00097775
13,151.691,1.66886,1.07492,0.80146,0.59584,0.31231,0.355,0.21179,1.47553,0.96474,0.81728,0.000953,0.000953,0.000953
14,162.093,1.69344,1.04719,0.80469,0.56619,0.33955,0.37401,0.2093,1.53318,0.94233,0.82038,0.00092825,0.00092825,0.00092825
15,172.422,1.66692,1.02415,0.79677,0.73619,0.35123,0.41192,0.24696,1.36553,0.8815,0.80923,0.0009035,0.0009035,0.0009035
16,182.712,1.69231,0.98717,0.79483,0.65647,0.46629,0.42718,0.25207,1.41986,0.8661,0.8128,0.00087875,0.00087875,0.00087875
17,193.001,1.65142,0.94268,0.79473,0.717,0.48082,0.51153,0.30712,1.38288,0.82413,0.80836,0.000854,0.000854,0.000854
